fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,descripcion_conducta,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane,
2010-02-14,valle,cali (ct),domingo,19:00:00,manuela beltran e14,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-02-14,valle,cali (ct),domingo,20:30:00,mojica e15,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,23,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-02-15,valle,cali (ct),lunes,00:00:00,lleras camargo e20,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,39,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-02-15,valle,cali (ct),lunes,00:00:00,los conquistadores e11,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,24,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-02-15,valle,cali (ct),lunes,00:03:00,industrial e8,urbana,dentro de la vivienda,articulo 210 a. acoso sexual,no reportado,a pie,a pie,15,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-15,valle,cali (ct),lunes,15:43:00,villa del lago e13,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-16,valle,cali (ct),martes,18:00:00,los chorros e18,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,no reportado,a pie,a pie,25,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-02-16,valle,cali (ct),martes,23:00:00,villacolombia,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,44,femenino,soltero,colombia,independiente,no reportado,superior,76001000,1.0
2010-02-17,valle,cali (ct),miercoles,19:00:00,nueva floresta e12,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,24,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000,1.0
2010-02-17,valle,cali (ct),miercoles,21:00:00,caney e17,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,36,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
