fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2015-08-13,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,jueves,08:00:00,alto napoles e18,urbana,dentro de la vivienda,contundentes,a pie,a pie,9,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-13,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,jueves,14:00:00,las americas e8,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,15,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-13,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,22:00:00,eduardo santos e12,urbana,vias publicas,contundentes,conductor motocicleta,a pie,13,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-13,valle,cali (ct),articulo 211. acceso carnal violento (circunstancias agravacion),jueves,09:00:00,alameda e9,urbana,vias publicas,,a pie,a pie,33,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-14,valle,cali (ct),articulo 205. acceso carnal violento,viernes,00:00:00,la isla e4,urbana,dentro de la vivienda,contundentes,a pie,a pie,16,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-14,valle,cali (ct),articulo 206. acto sexual violento,viernes,17:30:00,manuela beltran e14,urbana,vias publicas,contundentes,a pie,a pie,44,femenino,casado,colombia,empleado particular,,secundaria,76001000
2015-08-14,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,viernes,00:00:00,rodrigo lara bonilla e13,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-14,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,viernes,08:00:00,,urbana,vias publicas,sin empleo de armas,a pie,a pie,32,femenino,soltero,,empleado particular,,secundaria,76001000
2015-08-14,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,viernes,14:00:00,inv. brisas de comuneros  e15,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-14,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,viernes,20:00:00,los sauces e11,urbana,dentro de la vivienda,escopolamina,a pie,a pie,13,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-14,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,viernes,23:00:00,cgto la leonera e1,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,empleado particular,,primaria,76001000
2015-08-14,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,19:00:00,alto napoles e18,urbana,dentro de la vivienda,contundentes,a pie,a pie,3,femenino,soltero,colombia,desempleado,,analfabeta,76001000
2015-08-14,valle,cali (ct),articulo 210. acceso carnal o acto sexual abusivo con incapaz de resistir,viernes,21:00:00,la selva e10,urbana,dentro de la vivienda,contundentes,a pie,a pie,20,femenino,soltero,colombia,estudiante,,superior,76001000
