fecha,departamento,municipio,dia,hora,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2012-01-29,valle,cali (ct),domingo,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,29,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-29,valle,cali (ct),domingo,19:45:00,urbana,vias publicas,no reportado,a pie,a pie,27,masculino,soltero,colombia,empleado policial,policia,secundaria,76001000
2012-01-30,valle,cali (ct),lunes,10:01:00,urbana,vias publicas,contundentes,a pie,a pie,38,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-30,valle,cali (ct),lunes,18:00:00,urbana,oficinas,arma de fuego,conductor motocicleta,a pie,32,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-30,valle,cali (ct),lunes,19:30:00,urbana,vias publicas,no reportado,a pie,a pie,43,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-30,valle,cali (ct),lunes,22:30:00,urbana,casas de habitacion,no reportado,a pie,a pie,27,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-30,valle,cali (ct),lunes,22:30:00,urbana,casas de habitacion,no reportado,a pie,a pie,27,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-31,valle,cali (ct),martes,12:12:00,urbana,vias publicas,no reportado,a pie,a pie,37,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-31,valle,cali (ct),martes,14:00:00,urbana,casas de habitacion,arma de fuego,a pie,a pie,30,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-31,valle,cali (ct),martes,14:30:00,urbana,vias publicas,no reportado,a pie,a pie,65,masculino,union libre,colombia,pensionado,no reportado,superior,76001000
2012-01-31,valle,cali (ct),martes,15:52:00,urbana,vias publicas,sin empleo de armas,a pie,a pie,68,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-31,valle,cali (ct),martes,16:00:00,urbana,vias publicas,no reportado,a pie,a pie,51,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-31,valle,cali (ct),martes,19:30:00,urbana,vias publicas,no reportado,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-31,valle,cali (ct),martes,21:24:00,urbana,vias publicas,no reportado,a pie,a pie,36,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-02-01,valle,cali (ct),miercoles,00:00:00,urbana,vias publicas,sin empleo de armas,a pie,a pie,53,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-02-01,valle,cali (ct),miercoles,01:00:00,urbana,vias publicas,contundentes,a pie,a pie,51,femenino,casado,colombia,empleado particular,no reportado,primaria,76001000
2012-02-01,valle,cali (ct),miercoles,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,40,masculino,divorciado,colombia,independiente,no reportado,superior,76001000
2012-02-01,valle,cali (ct),miercoles,17:00:00,urbana,oficinas,no reportado,a pie,a pie,61,masculino,union libre,colombia,empleado particular,no reportado,tecnico,76001000
