fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2015-05-28,valle,cali (ct),jueves,17:30:00,ciudad capri e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-28,valle,cali (ct),jueves,16:20:00,santa monica residencial e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-28,valle,cali (ct),jueves,18:15:00,urb. tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-28,valle,cali (ct),jueves,16:35:00,urb. tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-28,valle,cali (ct),jueves,16:25:00,brisas de los alamos e2,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-05-29,valle,cali (ct),viernes,00:00:00,charco azul e13,urbana,local comercial,llave maestra,a pie,a pie,76001000
2015-05-29,valle,cali (ct),viernes,20:00:00,san joaquin e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-30,valle,cali (ct),sabado,15:00:00,caldas e18,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2015-05-30,valle,cali (ct),sabado,07:00:00,jose m. marroquin ii e14,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-05-30,valle,cali (ct),sabado,17:00:00,belalcazar e9,urbana,"droguerias, farmacias",arma de fuego,conductor motocicleta,a pie,76001000
2015-05-31,valle,cali (ct),domingo,12:30:00,chipichape e2,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2015-05-31,valle,cali (ct),domingo,20:30:00,alfonso lopez i e7,urbana,supermercados,arma de fuego,a pie,a pie,76001000
2015-05-31,valle,cali (ct),domingo,00:30:00,atanasio girardot e8,urbana,estacion m.i.o.,contundentes,a pie,a pie,76001000
2015-06-01,valle,cali (ct),lunes,02:00:00,nueva floresta e12,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-06-01,valle,cali (ct),lunes,15:30:00,santa monica residencial e2,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-01,valle,cali (ct),lunes,10:45:00,jorge eliecer gaitan e6,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-06-01,valle,cali (ct),lunes,17:32:00,san joaquin e17,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-06-02,valle,cali (ct),martes,00:00:00,las orquideas e14,urbana,vias publicas,cortantes,a pie,a pie,76001000
2015-06-03,valle,cali (ct),miercoles,15:15:00,,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-03,valle,cali (ct),miercoles,10:40:00,torres de confandi e5,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-03,valle,cali (ct),miercoles,11:15:00,belalcazar e9,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,76001000
2015-06-04,valle,cali (ct),jueves,00:00:00,san vicente e2,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-06-04,valle,cali (ct),jueves,15:00:00,el sena e5,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-04,valle,cali (ct),jueves,02:00:00,la alianza e4,urbana,parqueadero,sin empleo de armas,a pie,a pie,76001000
2015-06-05,valle,cali (ct),viernes,03:00:00,la floresta e8,urbana,restaurantes,contundentes,a pie,a pie,76001000
2015-06-05,valle,cali (ct),viernes,08:30:00,versalles e2,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2015-06-05,valle,cali (ct),viernes,17:37:00,santa monica residencial e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-06,valle,cali (ct),sabado,00:00:00,el sena e5,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-06-06,valle,cali (ct),sabado,09:40:00,calima e4,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2015-06-07,valle,cali (ct),domingo,16:00:00,ciudad capri e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-07,valle,cali (ct),domingo,09:35:00,u.r. santiago de cali e19,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-08,valle,cali (ct),lunes,15:00:00,brisas de los alamos e2,urbana,empresa,contundentes,a pie,a pie,76001000
2015-06-09,valle,cali (ct),martes,00:00:00,el cedro e19,urbana,oficinas,contundentes,a pie,a pie,76001000
2015-06-09,valle,cali (ct),martes,00:00:00,urb. tequendama e19,urbana,oficinas,contundentes,a pie,a pie,76001000
2015-06-10,valle,cali (ct),miercoles,04:00:00,sucre e9,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-06-10,valle,cali (ct),miercoles,09:35:00,u.r. santiago de cali e19,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-11,valle,cali (ct),jueves,13:15:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-12,valle,cali (ct),viernes,13:30:00,panamericano e10,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-06-12,valle,cali (ct),viernes,07:30:00,manuela beltran e14,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-06-12,valle,cali (ct),viernes,14:28:00,el limonar e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-13,valle,cali (ct),sabado,21:30:00,san fernando nuevo e19,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-13,valle,cali (ct),sabado,17:15:00,san fernando nuevo e19,urbana,almacenes,contundentes,a pie,a pie,76001000
2015-06-14,valle,cali (ct),domingo,12:30:00,manuela beltran e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-06-14,valle,cali (ct),domingo,15:35:00,san joaquin e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
