fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2011-05-01,valle,cali (ct),domingo,16:45:00,sucre e9,urbana,vias publicas,punzantes,a pie,a pie,35,masculino,separado,colombia,empleado particular,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,18:30:00,bellavista e19,urbana,vias publicas,contundentes,a pie,a pie,39,masculino,union libre,colombia,independiente,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,18:55:00,jose m. marroquin ii e14,urbana,vias publicas,contundentes,a pie,a pie,15,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,19:00:00,los comuneros ii e13,rural,vias publicas,contundentes,a pie,a pie,33,femenino,union libre,colombia,independiente,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,19:00:00,,urbana,vias publicas,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,20:00:00,los chorros e18,urbana,vias publicas,contundentes,a pie,a pie,18,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,20:30:00,alfonso b. aragon e14,urbana,vias publicas,contundentes,a pie,a pie,34,femenino,casado,colombia,ama de casa,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,20:45:00,ciudad cordoba e15,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,20:50:00,los comuneros ii e13,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,20:50:00,marroquin iii e13,urbana,vias publicas,arma blanca,a pie,a pie,24,masculino,union libre,no reportado,empleado particular,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,21:00:00,antonio narino e16,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,21:30:00,el jardin e11,urbana,vias publicas,contundentes,a pie,a pie,27,femenino,union libre,no reportado,independiente,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,21:30:00,lourdes e18,urbana,vias publicas,contundentes,a pie,a pie,29,masculino,soltero,colombia,independiente,no reportado,tecnico,76001000
2011-05-01,valle,cali (ct),domingo,22:30:00,remansos de comfandi e21,urbana,vias publicas,contundentes,a pie,a pie,16,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-05-02,valle,cali (ct),lunes,00:00:00,san pedro e3,urbana,vias publicas,contundentes,a pie,a pie,37,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-05-02,valle,cali (ct),lunes,00:38:00,alfonso lopez i e7,urbana,vias publicas,arma blanca,a pie,a pie,33,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-05-02,valle,cali (ct),lunes,02:15:00,el cedro e19,urbana,oficinas,arma de fuego,a pie,a pie,31,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-05-02,valle,cali (ct),lunes,07:00:00,los comuneros i e15,urbana,vias publicas,contundentes,a pie,a pie,25,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000
