fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2010-01-23,valle,cali (ct),sabado,13:00:00,urb. militar e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,41,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2010-01-23,valle,cali (ct),sabado,14:45:00,santa elena e10,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,51,masculino,divorciado,colombia,comerciante,no reportado,primaria,76001000
2010-01-23,valle,cali (ct),sabado,20:30:00,valle del lili e17,urbana,casas de habitacion,cortantes,a pie,a pie,44,masculino,soltero,colombia,independiente,no reportado,superior,76001000
2010-01-24,valle,cali (ct),domingo,00:00:00,menga e2,urbana,dentro de la vivienda,contundentes,a pie,a pie,70,femenino,casado,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-24,valle,cali (ct),domingo,00:00:00,menga e2,urbana,dentro de la vivienda,contundentes,a pie,a pie,74,masculino,casado,colombia,pensionado,no reportado,superior,76001000
2010-01-24,valle,cali (ct),domingo,12:00:00,prados del norte e2,urbana,casas de habitacion,cortantes,a pie,a pie,31,femenino,union libre,colombia,independiente,no reportado,tecnico,76001000
2010-01-24,valle,cali (ct),domingo,21:45:00,el lido e19,urbana,casas de habitacion,contundentes,a pie,a pie,35,masculino,soltero,colombia,empleado policial,policia,secundaria,76001000
2010-01-25,valle,cali (ct),lunes,04:00:00,cgto saladito e1,rural,fincas y similares,arma de fuego,a pie,a pie,21,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2010-01-25,valle,cali (ct),lunes,10:00:00,prados del norte e2,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,35,femenino,union libre,colombia,independiente,no reportado,superior,76001000
2010-01-25,valle,cali (ct),lunes,11:00:00,san nicolas e3,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,49,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-25,valle,cali (ct),lunes,12:30:00,,urbana,casas de habitacion,cortantes,a pie,a pie,46,femenino,casado,colombia,independiente,no reportado,superior,76001000
2010-01-26,valle,cali (ct),martes,08:00:00,versalles e2,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,41,femenino,union libre,colombia,no reporta,no reportado,secundaria,76001000
